KeyBucket,KeyStrokes,TotalTime,VOID,Stroke1,Stroke2,Stroke3
I,I,0.29729960799887,,0,0,0
I,I,0.85568613700161,,0,0,0
A,A,0.13453533300344,,0,0,0
O,O,0.42917715899966,,0,0,0
o,o,0.33572856899991,,0,0,0
o,o,7.2267725939964,,0,0,0
o,o,0.74397392600076,,0,0,0
O,O,0.97044304600422,,0,0,0
o,o,1.2265991250024,,0,0,0
A,A,10.477435034001,,0,0,0
O,O,0.53153008099616,,0,0,0
o,o,0.16145176099963,,0,0,0
ci*,ci",1.1615411899984,,0.10705071199482,0.18834703300672,0
O,O,0.74728062399663,,0,0,0
O,O,0.24775338299514,,0,0,0
i,i,0.32325944499462,,0,0,0
a,a,0.35259632200177,,0,0,0
O,O,0.48343190300511,,0,0,0
A,A,0.20665493600245,,0,0,0
i,i,0.24876288099767,,0,0,0
o,o,0.58623543100111,,0,0,0
A,A,0.20069665900519,,0,0,0
i,i,0.1179827800006,,0,0,0
d**,dla,0.51342800899874,,0.00015649200213375,0.33555545399577,0
ci*,ci",0.99918330099899,,0.070429583000077,0.26253551099944,0
df**,df)A,0.75283668799966,,0.13936718399782,0.14898997200362,0.22517433400208
a,a,0.65820098599943,,0,0,0
A,A,0.14397764800378,,0,0,0
o,o,0.11647810100112,,0,0,0
i,i,0.14198802899773,,0,0,0
O,O,0.22572080199461,,0,0,0
o,o,0.0024456930041197,,0,0,0
i,i,0.24734893099958,,0,0,0
o,o,0.06547700700321,,0,0,0
A,A,0.78172222699504,,0,0,0
O,O,0.6711090509998,,0,0,0
A,A,0.21616117500525,,0,0,0
A,A,0.36369528099749,,0,0,0
A,A,0.23774171699915,,0,0,0
A,A,0.1776310139976,,0,0,0
A,A,0.13562190899393,,0,0,0
o,o,0.10599517900118,,0,0,0
O,O,0.68003056100133,,0,0,0
i,i,1.3640658000004,,0,0,0
i,i,0.15912284299702,,0,0,0
I,I,0.36038700799691,,0,0,0
o,o,0.092096317996038,,0,0,0
A,A,0.36996641699807,,0,0,0
ci*,ci",0.85626964899711,,0.068210552002711,0.19695647399931,0
O,O,0.32943995400274,,0,0,0
O,O,0.41223313999944,,0,0,0
o,o,0.21728558500035,,0,0,0
A,A,0.19868360799592,,0,0,0
a,a,1.2552544270002,,0,0,0
a,a,1.7503028989959,,0,0,0
i,i,0.27513353800168,,0,0,0
i,i,0.3421231770044,,0,0,0
i,i,0.16887496099662,,0,0,0
a,a,0.1671544109995,,0,0,0
o,o,0.77579875199444,,0,0,0
ci*,ci",11.625664560001,,0.11267185799807,0.16841604599904,0
o,o,0.49936676699872,,0,0,0
O,O,1.1916924889956,,0,0,0
i,i,0.40894979699806,,0,0,0

o,o,0.1282298340011,,0,0,0
VD*,VDO,0.83914246800123,,0.046581920003518,0.27485384499596,0
I,I,0.35599826999533,,0,0,0
O,O,5.2225959059942,,0,0,0
I,I,0.41622832799476,,0,0,0
A,A,0.19607079100388,,0,0,0
I,I,0.86837697600276,,0,0,0
i,i,0.23139742599597,,0,0,0
i,i,1.4840167699949,,0,0,0
a,a,0.22016648199497,,0,0,0
o,o,0.56290219799848,,0,0,0
o,o,0.47665077900456,,0,0,0
I,I,0.19378275700001,,0,0,0
i,i,2.2038840050009,,0,0,0
i,i,0.076357951002137,,0,0,0
i,i,0.12230741399981,,0,0,0
d**,dla,0.69224897600361,,4.746500053443e-05,0.57933221499843,0
o,o,0.23881121299928,,0,0,0
A,A,0.29085626199958,,0,0,0
I,I,0.4813630130011,,0,0,0
d**,dli,0.66749515099946,,4.9969996325672e-05,0.48271268200187,0
i,i,0.11124046299665,,0,0,0
I,I,0.47912377500325,,0,0,0
I,I,0.30507041799865,,0,0,0
I,I,0.50375715299742,,0,0,0
i,i,0.17260999599966,,0,0,0
i,i,0.13264826499653,,0,0,0
a,a,0.23141105799732,,0,0,0
VD*,VDO,0.85441557599552,,0.048768337001093,0.1808014989947,0
I,I,0.20380940200266,,0,0,0
A,A,0.21105634899868,,0,0,0
i,i,0.12427647999721,,0,0,0
i,i,0.21192656800122,,0,0,0
o,o,0.51935245400091,,0,0,0
d**,dli,0.69194393100042,,3.1723000574857e-05,0.23622434799472,0
i,i,0.21627559699846,,0,0,0
I,I,0.44409086999804,,0,0,0
i,i,0.28266965099465,,0,0,0
O,O,0.38825090699538,,0,0,0
o,o,1.1582422319989,,0,0,0
ci*,ci(,1.3116254889974,,0.1113603249978,0.49080321299698,0
o,o,0.55583397400187,,0,0,0
o,o,0.45359021900367,,0,0,0
A,A,0.22302850399865,,0,0,0
o,o,0.22059011300007,,0,0,0
O,O,13.597548205005,,0,0,0
O,O,7.8383588770012,,0,0,0
O,O,0.48763522900117,,0,0,0
o,o,0.31826597599866,,0,0,0
o,o,1.0061168129978,,0,0,0
A,A,0.48471601399797,,0,0,0
I,I,0.24153457600187,,0,0,0
i,i,0.49392692299443,,0,0,0
a,a,0.34350465200259,,0,0,0
o,o,0.23114575900399,,0,0,0
o,o,0.44646877099876,,0,0,0
o,o,0.34693949400389,,0,0,0
VD*,VDO,0.72796139700222,,0.11143877599534,0.23083103700628,0
o,o,0.17517906799912,,0,0,0
A,A,0.1491813160028,,0,0,0
A,A,0.18522136399406,,0,0,0
A,A,0.3695777239991,,0,0,0
o,o,0.19240308600274,,0,0,0
i,i,0.44450978399982,,0,0,0
ci*,ci",1.3972312359983,,0.076270315999864,0.27660919600021,0
o,o,0.62355100399873,,0,0,0
o,o,0.1540189350053,,0,0,0
o,o,0.53864483199868,,0,0,0
i,i,0.34850045100029,,0,0,0
i,i,0.33637575199828,,0,0,0
i,i,0.25044706399785,,0,0,0
ci*,ci",0.80497044199728,,0.11321450699324,0.23143381300179,0
o,o,1.064560013001,,0,0,0
i,i,0.81333100899792,,0,0,0
O,O,0.38460395899892,,0,0,0
i,i,0.19651541100029,,0,0,0
o,o,0.3677505759988,,0,0,0
i,i,0.46128783599852,,0,0,0
i,i,0.3047669890002,,0,0,0
o,o,0.75713566999912,,0,0,0
i,i,1.1774426050033,,0,0,0
i,i,0.20235089600465,,0,0,0
i,i,0.19955219900294,,0,0,0
a,a,0.38401871999667,,0,0,0
A,A,0.19406646900461,,0,0,0
o,o,0.16521291599929,,0,0,0
VD*,VDO,1.1627981089987,,0.050043502000335,0.16190256299888,0
o,o,0.12973935799528,,0,0,0
A,A,0.15681071500148,,0,0,0
o,o,0.3678272679972,,0,0,0
A,A,0.70224432400573,,0,0,0
A,A,0.17627131400513,,0,0,0
i,i,0.14784236899868,,0,0,0
a,a,0.19817155999772,,0,0,0
o,o,0.15381321399764,,0,0,0
ci*,ci",0.69129196600261,,0.075773990996822,0.23184215900255,0
o,o,0.53632615300012,,0,0,0
O,O,0.32307944200147,,0,0,0
A,A,0.48372989599739,,0,0,0
I,I,0.2036521609989,,0,0,0
A,A,0.1540122830047,,0,0,0
A,A,0.15335799299646,,0,0,0
i,i,0.62790030900214,,0,0,0
O,O,0.75238080399868,,0,0,0
A,A,0.85819624699798,,0,0,0
A,A,0.1919520970041,,0,0,0
i,i,0.12482476900186,,0,0,0
A,A,0.029423368003336,,0,0,0
i,i,0.28208192899911,,0,0,0
a,a,0.14414885600127,,0,0,0
d**,dli,0.5320755779976,,8.6000000010245e-06,0.38115220899635,0
i,i,0.81383714300318,,0,0,0
o,o,0.51962004899542,,0,0,0
A,A,0.17186223500175,,0,0,0
o,o,0.11975025399443,,0,0,0
A,A,0.18348099700233,,0,0,0
o,o,0.74674153499654,,0,0,0
i,i,0.65195356500044,,0,0,0
A,A,0.6638138979979,,0,0,0
A,A,0.21743189300469,,0,0,0
o,o,0.31583423799748,,0,0,0
o,o,0.079929271996662,,0,0,0
o,o,0.37387607299752,,0,0,0
o,o,0.12473657200462,,0,0,0
O,O,0.40059366799687,,0,0,0
A,A,1.0462640920014,,0,0,0
A,A,0.19309508999868,,0,0,0
A,A,0.42205477199605,,0,0,0
A,A,0.20407131299726,,0,0,0
o,o,0.03552419100015,,0,0,0
i,i,0.54791034099617,,0,0,0
i,i,0.28193984599784,,0,0,0
o,o,0.1995529650012,,0,0,0
o,o,0.16952231900359,,0,0,0
O,O,2.3240863210012,,0,0,0
i,i,2.5519230509963,,0,0,0
i,i,0.21363926699996,,0,0,0
i,i,0.22339447999548,,0,0,0
i,i,0.14077605999773,,0,0,0
i,i,0.85764837799798,,0,0,0
a,a,0.36618268600432,,0,0,0
i,i,0.2955135250013,,0,0,0
i,i,0.12814836599864,,0,0,0
o,o,0.16805232399929,,0,0,0
o,o,0.11246024900174,,0,0,0
O,O,0.32096357800037,,0,0,0
o,o,0.12962829699973,,0,0,0
O,O,0.45858917099395,,0,0,0
VD*,VDO,0.47005530499882,,0.072205053998914,0.17152543599514,0
A,A,0.91659648699715,,0,0,0
A,A,0.14946728000359,,0,0,0
i,i,0.39001888900384,,0,0,0
ci*,ci",0.60171875200467,,0.063701036997372,0.21460820199718,0
o,o,0.14723077099916,,0,0,0
i,i,0.21444244099985,,0,0,0
o,o,0.26457889399899,,0,0,0
O,O,0.30212277999817,,0,0,0
i,i,0.36638238299929,,0,0,0
i,i,1.3783575190027,,0,0,0
i,i,0.13026365199767,,0,0,0
o,o,0.42424336000113,,0,0,0
VD*,VDO,0.64506374800112,,0.071979668005952,0.16831247499795,0
A,A,0.20580260100542,,0,0,0
o,o,0.13536456500879,,0,0,0
A,A,0.2106213740044,,0,0,0
A,A,0.15790039900457,,0,0,0
d**,d)a,0.68256234799628,,0.15432431299996,0.16199596101069,0
a,a,0.29112694200012,,0,0,0
o,o,0.4802373519924,,0,0,0
O,O,38.872077901993,,0,0,0
ca*,ca",1.0202625050006,,0.073441625994747,0.27889850699285,0
O,O,0.50003116800508,,0,0,0
A,A,0.22820307100483,,0,0,0
o,o,0.054097253014334,,0,0,0
O,O,32.311492342997,,0,0,0
O,O,0.83358255699568,,0,0,0
O,O,0.42087114699825,,0,0,0
O,O,0.64151179199689,,0,0,0
i,i,0.1038204219949,,0,0,0
a,a,0.073844915998052,,0,0,0
o,o,0.15780368899868,,0,0,0
o,o,0.080629832998966,,0,0,0
i,i,0.27413239498856,,0,0,0
ci*,ci",0.53775223999401,,0.065785091996077,0.1919611839985,0
o,o,0.89652731300157,,0,0,0
o,o,0.083611071997439,,0,0,0
O,O,0.27635074200225,,0,0,0
a,a,0.2308344149933,,0,0,0
o,o,0.43392005100031,,0,0,0
O,O,0.52983977900294,,0,0,0
i,i,0.2103570689942,,0,0,0
A,A,0.52492703299504,,0,0,0
o,o,0.074263570990297,,0,0,0
A,A,0.28195878201223,,0,0,0
O,O,1.1640992309985,,0,0,0
i,i,0.35402943700319,,0,0,0
ci*,ci",0.79048599398811,,0.081580188998487,0.19477461300266,0
i,i,0.46773914698861,,0,0,0
ci*,ci",0.67140963600832,,0.036245351002435,0.2244612909999,0
o,o,0.90753711901198,,0,0,0
o,o,0.23379750200547,,0,0,0
o,o,1.0085443829885,,0,0,0
O,O,0.14355572100612,,0,0,0
o,o,0.47393697001098,,0,0,0
i,i,0.15705895799329,,0,0,0
A,A,0.15193004299363,,0,0,0
A,A,0.64806926601159,,0,0,0
A,A,0.16767515800893,,0,0,0
i,i,0.19401430900325,,0,0,0
A,A,0.37783223600127,,0,0,0
A,A,0.42873809700541,,0,0,0
o,o,0.14154787399457,,0,0,0
i,i,0.24885776400333,,0,0,0
a,a,0.2420606539963,,0,0,0
ci*,ci(,1.0879105569911,,0.06779563400778,0.216540066991,0
o,o,2.467611813001,,0,0,0
O,O,0.67981350500486,,0,0,0
O,O,0.26446157899045,,0,0,0
i,i,0.12406380099128,,0,0,0
A,A,0.2257168770011,,0,0,0
A,A,0.097763765006675,,0,0,0
o,o,0.23991462599952,,0,0,0
o,o,0.19773928700306,,0,0,0
O,O,0.35704891799833,,0,0,0
D*,DA,0.7509390579944,,0.19200620600895,0,0
A,A,0.16877364100947,,0,0,0
A,A,0.17928508599289,,0,0,0
o,o,0.22074035400874,,0,0,0
A,A,0.82094161800342,,0,0,0
o,o,0.17360435400042,,0,0,0
o,o,0.1080683679902,,0,0,0
A,A,0.35825589600427,,0,0,0
A,A,0.55675613800122,,0,0,0
a,a,0.31592111301143,,0,0,0
o,o,0.083845109009417,,0,0,0
o,o,4.8876822820021,,0,0,0
O,O,0.82160411999212,,0,0,0
O,O,0.2527872149949,,0,0,0
A,A,0.36020638099581,,0,0,0
i,i,0.10921901999973,,0,0,0
A,A,0.15028351999354,,0,0,0
A,A,0.16063227099949,,0,0,0
i,i,0.18233799000154,,0,0,0
i,i,0.77416756500315,,0,0,0
O,O,0.18798665101349,,0,0,0
o,o,0.31120137900871,,0,0,0
A,A,0.42500462599855,,0,0,0
A,A,0.55064271899755,,0,0,0
o,o,0.43683824199252,,0,0,0
A,A,0.17089117600699,,0,0,0
o,o,11.085575303005,,0,0,0
o,o,0.31125710600463,,0,0,0
O,O,0.38510666100774,,0,0,0
A,A,0.26086311100516,,0,0,0
O,O,0.86916031499277,,0,0,0
o,o,0.086913876002654,,0,0,0
O,O,0.23975146500743,,0,0,0
i,i,0.12513835298887,,0,0,0
A,A,0.26616934400226,,0,0,0
o,o,0.63038935500663,,0,0,0
o,o,0.34727345299325,,0,0,0
o,o,0.26387265299854,,0,0,0
O,O,7.8213233269926,,0,0,0
o,o,0.2281974679936,,0,0,0
o,o,0.18250127299689,,0,0,0
O,O,34.524103639997,,0,0,0
O,O,8.9101330470003,,0,0,0
o,o,0.089249586002552,,0,0,0
O,O,2.0298609969905,,0,0,0
i,i,0.39561936000246,,0,0,0
o,o,0.064201178989606,,0,0,0
I,I,0.22621905599954,,0,0,0
A,A,0.36665301398898,,0,0,0
i,i,0.11570363100327,,0,0,0
A,A,0.13567496099859,,0,0,0
i,i,0.18605727799877,,0,0,0
o,o,137.281502193,,0,0,0
O,O,0.649187988005,,0,0,0
O,O,1.5440084059956,,0,0,0
A,A,0.30625632299052,,0,0,0
a,a,0.15443689200038,,0,0,0
a,a,74.593947287998,,0,0,0
a,a,2.3340489770053,,0,0,0
A,A,0.59658413000579,,0,0,0
i,i,7.3293603530037,,0,0,0
O,O,0.12767459699535,,0,0,0
ci*,ci(,1.1617766920099,,0.081867269997019,0.17215264900005,0
a,a,0.34463024900469,,0,0,0
df**,df}i,0.62555789100588,,0.14235664400621,0.098696091998136,0.099049472002662
i,i,0.25051139399875,,0,0,0
i,i,0.20702813500247,,0,0,0
a,a,0.24805451500288,,0,0,0
i,i,0.10229538699787,,0,0,0
o,o,0.22629091099952,,0,0,0
o,o,0.20856665199972,,0,0,0
ci*,ci",1.0346541650069,,0.078025508002611,0.20394342699728,0
a,a,0.20102669499465,,0,0,0
A,A,0.27259032499569,,0,0,0
A,A,0.22656387399184,,0,0,0
a,a,0.13700684400101,,0,0,0
a,a,0.14978758899088,,0,0,0
i,i,0.4644420560071,,0,0,0
i,i,0.1134685230063,,0,0,0
O,O,0.56192663899856,,0,0,0
O,O,0.18271433698828,,0,0,0
A,A,0.56244858598802,,0,0,0
i,i,0.19499079301022,,0,0,0
A,A,0.56679125099618,,0,0,0
a,a,0.54841204998957,,0,0,0
o,o,2.0249301700096,,0,0,0
i,i,0.17909128000611,,0,0,0
A,A,0.21013381499506,,0,0,0
A,A,0.17158857898903,,0,0,0
O,O,0.12303821499518,,0,0,0
i,i,0.18831111700274,,0,0,0
O,O,0.22514212000533,,0,0,0
A,A,0.1934362170141,,0,0,0
a,a,0.056329551007366,,0,0,0
a,a,0.074338202000945,,0,0,0
O,O,14.846795398,,0,0,0
O,O,127.791436714,,0,0,0
o,o,0.08410686798743,,0,0,0
o,o,0.37255470399396,,0,0,0
O,O,0.42217112000799,,0,0,0
O,O,0.51693724299548,,0,0,0
O,O,0.63687635799579,,0,0,0
A,A,0.59017899699393,,0,0,0
i,i,0.41520171299635,,0,0,0
i,i,0.23975554399658,,0,0,0
A,A,1.2814704280026,,0,0,0
I,I,0.1787725519971,,0,0,0
O,O,0.23097701500228,,0,0,0
O,O,0.58594371398794,,0,0,0
o,o,0.088103501999285,,0,0,0
i,i,0.21726380799373,,0,0,0
o,o,0.43816021599923,,0,0,0
O,O,2.6641631359962,,0,0,0
i,i,0.11109348900209,,0,0,0
o,o,0.15760498201416,,0,0,0
A,A,0.58889553599874,,0,0,0
O,O,0.2358448439918,,0,0,0
i,i,0.53574757199385,,0,0,0
o,o,0.090254377995734,,0,0,0
o,o,0.12214891200711,,0,0,0
O,O,0.6051347390021,,0,0,0
o,o,2.6542731819936,,0,0,0
o,o,0.50635916700412,,0,0,0
A,A,0.68810556300741,,0,0,0
o,o,0.10512924600334,,0,0,0
A,A,0.15333037900564,,0,0,0
s,s,0.58104444999481,,0,0,0
A,A,0.19118974498997,,0,0,0
A,A,0.19821036000212,,0,0,0
A,A,0.47404846199788,,0,0,0
a,a,0.1998503079958,,0,0,0
df**,df(i,0.89893901300093,,0.14633299100387,0.10117355799593,0.36845203400298
a,a,0.24948537499586,,0,0,0
o,o,0.75082796000061,,0,0,0
o,o,0.19675232798909,,0,0,0
o,o,0.40332490600122,,0,0,0
o,o,0.57716365900706,,0,0,0
o,o,0.12792249700578,,0,0,0
a,a,0.17468266500509,,0,0,0
i,i,0.18901684699813,,0,0,0
a,a,0.4392610470095,,0,0,0
o,o,0.28773303699563,,0,0,0
o,o,0.06436150999798,,0,0,0
i,i,0.19924072999856,,0,0,0
o,o,0.068091713998001,,0,0,0
o,o,1.1318597409991,,0,0,0
O,O,0.2657417080045,,0,0,0
O,O,0.18175714300014,,0,0,0
A,A,1.2957396179991,,0,0,0
o,o,0.24149127899727,,0,0,0
o,o,0.10734719000175,,0,0,0
O,O,0.12761560699437,,0,0,0
O,O,22.687319329998,,0,0,0
O,O,17.433182049994,,0,0,0
O,O,3.330885686999,,0,0,0
a,a,0.26172505501017,,0,0,0
O,O,0.70278684599907,,0,0,0
O,O,0.55036278600164,,0,0,0
i,i,0.53981268899224,,0,0,0
i,i,0.094960235001054,,0,0,0
a,a,0.17363474999729,,0,0,0
i,i,0.21914734999882,,0,0,0
o,o,0.091684783998062,,0,0,0
o,o,0.19533340899216,,0,0,0
O,O,0.28741262400581,,0,0,0
VD*,VDO,0.41480994298763,,0.066325927997241,0.13391513000533,0
A,A,0.49184856400825,,0,0,0
i,i,0.19023225599085,,0,0,0
A,A,0.28436886900454,,0,0,0
o,o,0.54549669499102,,0,0,0
A,A,0.2168807029957,,0,0,0
O,O,0.22629333999066,,0,0,0
o,o,0.12698089500191,,0,0,0
o,o,0.13292194300448,,0,0,0
o,o,0.093005928996718,,0,0,0
i,i,0.54242894200434,,0,0,0
a,a,0.3778118659975,,0,0,0
a,a,0.37102055399737,,0,0,0
o,o,0.39979286999733,,0,0,0
o,o,2.9280479810113,,0,0,0
o,o,2.8850552529912,,0,0,0
i,i,0.66904370499833,,0,0,0
i,i,0.32439791600336,,0,0,0
a,a,6.0538672670082,,0,0,0
O,O,0.7119088019972,,0,0,0
A,A,0.18126136499632,,0,0,0
A,A,0.9795622320089,,0,0,0
A,A,0.37562176799111,,0,0,0
i,i,0.093328925999231,,0,0,0
o,o,0.83039906799968,,0,0,0
A,A,0.47981658700155,,0,0,0
o,o,0.26761309799622,,0,0,0
A,A,0.14439094299451,,0,0,0
i,i,0.13291854399722,,0,0,0
A,A,0.24203153699636,,0,0,0
o,o,243.99921729699,,0,0,0
o,o,0.074173347995384,,0,0,0
i,i,0.24736615500296,,0,0,0
I,I,1.3400368250004,,0,0,0
A,A,0.34956764399249,,0,0,0
o,o,0.66104416499729,,0,0,0
A,A,0.43783519900171,,0,0,0
i,i,0.20950698001252,,0,0,0
A,A,0.51304032899498,,0,0,0
O,O,0.40895295799419,,0,0,0
a,a,0.28529787700973,,0,0,0
o,o,1.5211804119899,,0,0,0
O,O,1.7394864829985,,0,0,0
A,A,0.64363190800941,,0,0,0
O,O,0.24480397799925,,0,0,0
o,o,0.11755176400766,,0,0,0
O,O,0.51202206600283,,0,0,0
i,i,0.3437715619948,,0,0,0
A,A,0.20903677000024,,0,0,0
A,A,7.9954837160039,,0,0,0
A,A,0.4718386149907,,0,0,0
A,A,0.34164600599615,,0,0,0
A,A,0.28886648500338,,0,0,0
a,a,0.14387676300248,,0,0,0
o,o,0.64743247599108,,0,0,0
A,A,0.15910236499622,,0,0,0
i,i,0.099442375998478,,0,0,0
o,o,0.083354559988948,,0,0,0
A,A,0.70992216099694,,0,0,0
i,i,0.28858069400303,,0,0,0
a,a,0.28215086199634,,0,0,0
A,A,0.3280740629998,,0,0,0
df**,df)A,0.68207556199923,,0.14061730899266,0.13293912600784,0.25847191498906
A,A,0.30642625299515,,0,0,0
A,A,0.26896393600327,,0,0,0
i,i,0.63810902698606,,0,0,0
A,A,0.23437049100175,,0,0,0
o,o,0.1254803470074,,0,0,0
O,O,0.14401046099374,,0,0,0
o,o,0.21516308501305,,0,0,0
o,o,3.343756058006,,0,0,0
o,o,0.66398393000418,,0,0,0
A,A,0.18241828100872,,0,0,0
A,A,0.18730415799655,,0,0,0
O,O,0.51106826400792,,0,0,0
O,O,0.41888182100956,,0,0,0
O,O,3.5741551539977,,0,0,0
O,O,1.9687931689987,,0,0,0
o,o,0.097691432005377,,0,0,0
o,o,0.29893248000008,,0,0,0
VD*,VDO,0.63097933201061,,0.055905867993715,0.33553793000465,0
I,I,0.057236143999035,,0,0,0
o,o,0.57810663900455,,0,0,0
O,O,1.4409664289997,,0,0,0
O,O,2.7953789339954,,0,0,0
o,o,2.565558628994,,0,0,0
O,O,0.27245773500181,,0,0,0
O,O,1.1346287839988,,0,0,0
O,O,0.42604023299646,,0,0,0
O,O,14.198357654008,,0,0,0
O,O,3.5475592610019,,0,0,0
O,O,0.28085256699705,,0,0,0
O,O,1.7216738529969,,0,0,0
o,o,0.63679036300164,,0,0,0
O,O,1.3097782219993,,0,0,0
o,o,0.41417058599473,,0,0,0
o,o,0.19808924999961,,0,0,0
A,A,54.865460098008,,0,0,0
A,A,0.6405278989987,,0,0,0
a,a,0.34591178099799,,0,0,0
a,a,0.74607158100116,,0,0,0
o,o,0.33180930798699,,0,0,0
o,o,0.083738834000542,,0,0,0
O,O,1.2006873189966,,0,0,0
o,o,0.21948566299397,,0,0,0
o,o,0.33548780099954,,0,0,0
O,O,2.2676595659868,,0,0,0
o,o,0.69426721399941,,0,0,0
O,O,0.53842135598825,,0,0,0
O,O,0.23796154999582,,0,0,0
O,O,0.32345329200325,,0,0,0
a,a,0.19869371299865,,0,0,0
o,o,0.1753084059892,,0,0,0
O,O,0.31991577500594,,0,0,0
O,O,0.48705488200358,,0,0,0
o,o,0.098626923005213,,0,0,0
O,O,15.250453419998,,0,0,0
O,O,0.24937779598986,,0,0,0
O,O,1.1241871040111,,0,0,0
a,a,0.32917991399881,,0,0,0
o,o,0.25979262999317,,0,0,0
a,a,0.13061808799102,,0,0,0
A,A,0.045611601002747,,0,0,0
I,I,0.67273763898993,,0,0,0
A,A,0.1826149020053,,0,0,0
o,o,100.23287248801,,0,0,0
i,i,0.13675344300282,,0,0,0
O,O,0.253770943993,,0,0,0
a,a,0.14419527699647,,0,0,0
o,o,0.63303812799859,,0,0,0
o,o,0.13890640900354,,0,0,0
O,O,0.25203943600354,,0,0,0
i,i,0.13717671998893,,0,0,0
i,i,0.19324977499491,,0,0,0
o,o,0.19978733400058,,0,0,0
i,i,0.26215838300413,,0,0,0
o,o,0.2314377129951,,0,0,0
i,i,0.22845718900498,,0,0,0
i,i,0.13921455500531,,0,0,0
a,a,0.19653725600801,,0,0,0
a,a,0.29294298500463,,0,0,0
i,i,0.127218722002,,0,0,0
i,i,0.096394970998517,,0,0,0
a,a,0.17180363800435,,0,0,0
i,i,0.3335661989986,,0,0,0
i,i,0.15435090499523,,0,0,0
I,I,0.41295476900996,,0,0,0
I,I,0.35245210700668,,0,0,0
O,O,0.17997288699553,,0,0,0
i,i,0.88449411401234,,0,0,0
o,o,0.22899256000528,,0,0,0
o,o,0.28698841699224,,0,0,0
O,O,7.395622334996,,0,0,0
O,O,0.63967752899043,,0,0,0
A,A,0.16327092099527,,0,0,0
a,a,0.70985680600279,,0,0,0
i,i,0.15020072901098,,0,0,0
ci*,ci",0.72528425000201,,0.089909088987042,0.26223447000666,0
o,o,8.7196092570084,,0,0,0
O,O,0.22852531699755,,0,0,0
O,O,0.7586150910065,,0,0,0
i,i,0.4350582939951,,0,0,0
a,a,0.30509530399286,,0,0,0
a,a,0.19506298600754,,0,0,0
o,o,0.68269817699911,,0,0,0
A,A,0.20262188700144,,0,0,0
o,o,0.079685060991324,,0,0,0
i,i,0.40606075299729,,0,0,0
I,I,0.31379891399411,,0,0,0
i,i,0.27872129098978,,0,0,0
i,i,0.36795451400394,,0,0,0
a,a,0.40410232599243,,0,0,0
o,o,0.1703601420013,,0,0,0
ci*,ci",0.94413849699777,,0.071886948004249,0.33404841899755,0
i,i,0.13917958599632,,0,0,0
A,A,0.6200335350004,,0,0,0
O,O,0.14916547598841,,0,0,0
i,i,0.15809424300096,,0,0,0
A,A,0.16502985099214,,0,0,0
i,i,0.13352696900256,,0,0,0
A,A,0.23280140799761,,0,0,0
df**,df"i,1.0852024619962,,0.13691526399634,0.16295855300268,0.17536216700682
i,i,0.64253093200387,,0,0,0
A,A,0.48744616699696,,0,0,0
A,A,0.52716217200214,,0,0,0
o,o,0.091931872986606,,0,0,0
o,o,0.086721268002293,,0,0,0
