KeyBucket,KeyStrokes,TotalTime,VOID,Stroke1,Stroke2,Stroke3
i,i,0.36036399299883,,0,0,0
o,o,1.2414822120008,,0,0,0
A,A,0.21752291899975,,0,0,0
i,i,0.95074662799925,,0,0,0
i,i,1.0543436050011,,0,0,0
o,o,0.45332302399947,,0,0,0
i,i,0.26662106399999,,0,0,0
A,A,0.35234258099999,,0,0,0
d**,ddi,1.63189025,,0.0053808520000302,1.498699845,0
s,s,1.3545412850001,,0,0,0
s,s,1.737835848,,0,0,0
i,i,0.23676335499977,,0,0,0
cc,cc,0.42303509300018,,0.0055629980001868,0,0
s,s,0.022944539000036,,0,0,0
ci*,ci[,2.299850629,,0.70308104900005,5.6152000070142e-05,0
ci*,ci{,0.49996443100008,,0.35572792899984,5.7270000070275e-05,0
i,i,0.059966844999963,,0,0,0
ci*,ci[,1.9599560010001,,0.45180998199976,5.6990000302903e-05,0
ci*,ci{,0.68581684099991,,0.37396292899984,5.6711000070209e-05,0
ci*,ci{,0.71259650499996,,0.3778966699997,7.6266000178293e-05,0
ci*,ci{,1.3786787129998,,0.75565980299962,5.9784000313812e-05,0
ci*,ci[,0.88404792100027,,0.62297951900018,6.0342999859131e-05,0
ci*,ci[,1.0272571979999,,0.4684000809998,0.00020952400018359,0
ci*,ci{,1.0400588259999,,0.40005032500039,7.486999993489e-05,0
ci*,ci{,0.73495381800012,,0.35452554099993,6.0343000313878e-05,0
ci*,ci{,1.265770217,,0.7965772980001,7.6825999713037e-05,0
ci*,ci{,1.33355342,,0.62610030799988,5.8106999858865e-05,0
ci*,ci{,1.7148639319998,,1.0156403579999,0.31221792499991,0
a,a,0.0070293849998961,,0,0,0
ci*,ci[,2.1941559009997,,0.3241839719999,5.8108000303037e-05,0
ci*,ci[,1.5128013590002,,0.8895083919997,8.3809999978257e-05,0
ci*,ci[,0.91424589600001,,0.51873273899992,7.2635000378796e-05,0
a,a,0.093289520000326,,0,0,0
ci*,ci{,4.5951434170001,,1.0051859549999,9.3867000032333e-05,0
i,i,0.32534138100027,,0,0,0
a,a,0.096852263000073,,0,0,0
ci*,ci{,1.0431731890003,,0.67056490100003,0.00047911199999362,0
ci*,ci[,0.9710304930004,,0.66812325000001,7.486999993489e-05,0
i,i,0.14663122000002,,0,0,0
ci*,ci[,1.1867651959997,,0.88341879100017,5.7828999615595e-05,0
ci*,ci(,0.57718235300035,,0.39919127799976,8.3250999978191e-05,0
ci*,ci[,0.69990550500006,,0.39995534100035,7.5987999935023e-05,0
ci*,ci[,0.97586658299997,,0.59710025000004,0.00010504099964237,0
a,a,0.073317704999681,,0,0,0
ci*,ci{,1.3125004630001,,0.34971990200029,5.5872999837447e-05,0
o,o,0.94764036700008,,0,0,0
A,A,0.683657907,,0,0,0
o,o,1.5599473000002,,0,0,0
O,O,0.83996717399987,,0,0,0
A,A,0.37616795799977,,0,0,0
A,A,0.63995011400038,,0,0,0
A,A,0.25397532099987,,0,0,0
A,A,0.46995195399995,,0,0,0
d**,dlo,1.543189861,,6.2858000092092e-05,0.54666506300009,0
s,s,0.011412625000048,,0,0,0
ci*,ci{,0.70622781699967,,0.34628063699984,6.1740000091959e-05,0
A,A,0.97327770600077,,0,0,0
i,i,0.15494820000004,,0,0,0
i,i,0.97781627200038,,0,0,0
C,C,0.011707354999999,,0,0,0
o,o,0.53962757600038,,0,0,0
i,i,0.28473454100003,,0,0,0
i,i,14.499937892,,0,0,0
o,o,0.19497591700019,,0,0,0
o,o,0.75319049399968,,0,0,0
cw,cw,1.6118242900002,,0.0040108449993568,0,0
O,O,1.5427227629998,,0,0,0
o,o,0.54737744499926,,0,0,0
A,A,0.26230040199971,,0,0,0
A,A,2.2594390650002,,0,0,0
i,i,0.52656110999942,,0,0,0
A,A,0.29993619500056,,0,0,0
O,O,1.7261064229997,,0,0,0
A,A,0.77988159899996,,0,0,0
o,o,1.2697156909999,,0,0,0
A,A,0.29999486199995,,0,0,0
o,o,2.5173889139996,,0,0,0
i,i,2.8055090810003,,0,0,0
A,A,1.1096735470001,,0,0,0
o,o,1.3264097740002,,0,0,0
i,i,0.34664632600015,,0,0,0
d**,dlA,2.7681669009999,,3.3243999496335e-05,0.87357871200038,0
A,A,0.16026507799961,,0,0,0
o,o,3.1371182989997,,0,0,0
A,A,0.43870803700065,,0,0,0
o,o,0.63765373200022,,0,0,0
A,A,0.46360617499977,,0,0,0
a,a,0.20397985599993,,0,0,0
o,o,0.86918821000017,,0,0,0
A,A,0.15300465699966,,0,0,0
o,o,2.8113366380003,,0,0,0
d**,dlo,1.5345030019998,,5.252000028122e-05,0.34986628899969,0
o,o,2.1051364770001,,0,0,0
o,o,0.78721493400008,,0,0,0
i,i,1.0161772970005,,0,0,0
o,o,0.71348572399984,,0,0,0
o,o,0.58475566200013,,0,0,0
i,i,1.2442722309997,,0,0,0
o,o,1.9244699219998,,0,0,0
i,i,0.4270962239998,,0,0,0
o,o,0.8974934859998,,0,0,0
o,o,0.81849209699976,,0,0,0
o,o,1.560344558,,0,0,0
O,O,0.58658159299921,,0,0,0
o,o,0.41309248800007,,0,0,0
o,o,0.51860004099944,,0,0,0
A,A,0.13336947799962,,0,0,0
